erk_regime,beta_d_R,beta_d_T,lambda_d,n_replicates,pooled_t_zone_deaths_k,pooled_total_deaths_n,t_zone_area_fraction_p0,pooled_t_zone_fraction,pooled_t_zone_density_ratio,pooled_binomial_p_value_greater,significant_unadjusted_0p05,p_value_display
reference_ERK,2.0,0.8,0.25,10,6424,10000,0.4444444444444445,0.6424,2.245525727069351,0.0,True,< 1e-300
reference_ERK,2.0,0.8,0.5,10,6395,10000,0.4444444444444445,0.6395,2.217406380027739,0.0,True,< 1e-300
weak_ERK_protection,4.0,1.6,0.25,10,6584,10000,0.4444444444444445,0.6584,2.409250585480094,0.0,True,< 1e-300
weak_ERK_protection,4.0,1.6,0.5,10,6525,10000,0.4444444444444445,0.6525,2.347122302158273,0.0,True,< 1e-300
weak_ERK_protection,4.0,1.6,1.0,10,6499,10000,0.4444444444444445,0.6499,2.320408454727221,0.0,True,< 1e-300
weak_ERK_protection,4.0,1.6,4.0,10,6370,10000,0.4444444444444445,0.637,2.193526170798898,0.0,True,< 1e-300
reference_ERK,2.0,0.8,1.0,10,6295,10000,0.4444444444444445,0.6295,2.123819163292848,2.40525435978301e-302,True,2.405e-302
reference_ERK,2.0,0.8,4.0,10,6268,10000,0.4444444444444445,0.6268,2.0994105037513395,1.4105680032551372e-293,True,1.411e-293
reference_ERK,2.0,0.8,2.0,10,6219,10000,0.4444444444444445,0.6219,2.056003702724147,5.2113471892417236e-278,True,5.211e-278
weak_ERK_protection,4.0,1.6,2.0,10,6171,10000,0.4444444444444445,0.6171,2.014559937320449,3.444665476803634e-263,True,3.445e-263
strong_ERK_protection,1.0,0.4,0.25,10,6083,10000,0.4444444444444445,0.6083,1.941217768700536,4.073695709745829e-237,True,4.074e-237
strong_ERK_protection,1.0,0.4,0.5,10,5990,10000,0.4444444444444445,0.599,1.8672069825436408,4.2828249648143e-211,True,4.283e-211
strong_ERK_protection,1.0,0.4,1.0,10,5944,10000,0.4444444444444445,0.5944,1.8318540433925048,8.403816966996503e-199,True,8.404e-199
strong_ERK_protection,1.0,0.4,2.0,10,5838,10000,0.4444444444444445,0.5838,1.7533637674195095,6.36594298138444e-172,True,6.366e-172
strong_ERK_protection,1.0,0.4,4.0,10,5589,10000,0.4444444444444445,0.5589,1.5838245295851283,1.2004033612747556e-116,True,1.200e-116
